run,scenario,regime,Mean_Savings,Median_Savings,Savings_Rate,Gini_Wealth
14,interest_rate_shock,UK,2928023.9641156993,2109832.3778099627,77.6961364032529,0.4582460241631996
15,interest_rate_shock,UK,2863331.248675319,2118857.5776745165,77.43968445790132,0.4492819721220558
16,interest_rate_shock,UK,2890700.1145988065,2055502.7116421936,77.52830209615811,0.4762653848471188
17,interest_rate_shock,UK,2862311.9880916746,2018671.440875893,79.21609489207844,0.48363057280557453
18,interest_rate_shock,UK,3068755.42762212,2171516.404882713,79.14776436872395,0.46062530376892874
19,interest_rate_shock,UK,2907954.368808393,2144381.666104867,78.66352918718073,0.4561633840445576
20,interest_rate_shock,UK,3016142.6234414536,2147821.583286181,78.1259624034371,0.48826894033343415
21,interest_rate_shock,UK,2839367.485750782,2079600.0367066625,75.47551824225096,0.4751175516128272
22,interest_rate_shock,UK,2964611.5261800755,2068805.9588243961,79.89966860821107,0.4891876126574226
23,interest_rate_shock,UK,3045000.540066835,2236074.190926132,80.47917849583081,0.46800182723553196
24,interest_rate_shock,UK,3024227.6718795802,2235522.2238993733,80.02482254771968,0.4688512304079484
25,interest_rate_shock,UK,2984431.5648032627,2141014.9134371383,81.21089388926222,0.47848991972620225
26,interest_rate_shock,UK,2991374.9675057,2164358.8157434007,82.87525768884588,0.47111137520647084
27,interest_rate_shock,UK,3149219.2359864805,2207102.144144155,81.95214255157839,0.47263543729737756
28,interest_rate_shock,UK,3119911.4558846573,2150476.344251514,81.6067425792558,0.495643031122347
29,interest_rate_shock,UK,3038603.8838566877,2063205.2958046854,76.78703705915393,0.48609161683144175
30,interest_rate_shock,UK,3141239.414666544,2126882.0876638386,85.0481783726578,0.5118578351177907
31,interest_rate_shock,UK,2842099.560562646,2040415.2355279475,81.6488221180303,0.47734314411141177
32,interest_rate_shock,UK,3203285.703301408,2342651.331116098,84.82046840928297,0.47593300432499763
33,interest_rate_shock,UK,2987867.950852235,2136677.0764750117,80.09808940060913,0.48010820390787723
34,interest_rate_shock,UK,3095823.453131033,2252590.2169437916,80.22394155578105,0.4708107864138895
35,interest_rate_shock,UK,3142480.0485209865,2138114.6372286547,79.9108199383043,0.5014640613738792
36,interest_rate_shock,UK,3062509.175083393,2158385.2212352445,79.14247735455318,0.48700625993428304
37,interest_rate_shock,UK,3192703.5419629132,2304054.5547483955,80.86799301889437,0.46456352685198654
38,interest_rate_shock,UK,2922525.460770156,2063820.9171923772,79.42076908446535,0.4750064349407508
39,interest_rate_shock,UK,2936507.6279473365,2074354.8776565546,77.70025692079105,0.4762435156912612
40,interest_rate_shock,UK,3014456.626000478,2091393.8253667587,81.78880970812757,0.4829230529985058
41,interest_rate_shock,UK,2956673.576503801,2099475.7244479517,78.80218479933932,0.4798587686799607
42,interest_rate_shock,UK,3125185.688910636,2224568.65086066,79.5297434741932,0.4782427844824382
43,interest_rate_shock,UK,2872780.8447489664,2081364.6460418086,78.77639449788313,0.4790316672300652
44,interest_rate_shock,UK,3172919.9855749425,2235397.870125925,83.2848910566503,0.47848518516458016
45,interest_rate_shock,UK,3022805.5407794192,2182121.1394932587,80.81479657661737,0.4800671838963708
46,interest_rate_shock,UK,3192640.281748082,2352570.805722474,83.9954748817362,0.47716020667713077
47,interest_rate_shock,UK,2970220.5760469427,2179803.235267308,77.94335350928564,0.4609670726584296
48,interest_rate_shock,UK,3076604.167881197,2161128.1303939503,83.59479884553139,0.4934587661604266
49,interest_rate_shock,UK,3161393.518126064,2234054.7497921246,83.34454257756626,0.48016239946809613
50,interest_rate_shock,UK,3170688.85116635,2238913.727331061,80.7972217085993,0.47333502871090394
51,interest_rate_shock,UK,2938342.084963148,2065616.1135018102,79.86875880412899,0.4754442410577788
52,interest_rate_shock,UK,2982723.249528656,2223645.4047209118,80.97399468852134,0.4593244458670165
53,interest_rate_shock,UK,2877412.076932475,1985868.724729797,75.15477660699405,0.4728408818504519
54,interest_rate_shock,UK,3059597.9211368454,2129610.5177857517,82.19628540927485,0.49677974571872996
55,interest_rate_shock,UK,3202913.692087842,2122186.1080060853,81.72958684358163,0.49878635411689287
56,interest_rate_shock,UK,2985467.2776899654,2099222.314780095,77.49750223734056,0.4750261304023078
57,interest_rate_shock,UK,3054795.7276130933,2134233.4950721236,81.92559552527858,0.4722115678164456
58,interest_rate_shock,UK,3141815.9550967766,2208564.5046288664,84.86766662310781,0.4838242954456682
59,interest_rate_shock,UK,3220882.1651284923,2178603.7856825776,81.97170320649334,0.501848738569642
60,interest_rate_shock,UK,3069497.2175724735,2176167.6610445455,82.45305564323712,0.4727117125043714
61,interest_rate_shock,UK,3140923.248784028,2206195.3557095956,80.48469237232796,0.4807948157397519
62,interest_rate_shock,UK,2846351.586232075,2029679.400347816,74.71162633451333,0.47669939558062646
63,interest_rate_shock,UK,3094438.0190034006,2175569.248863385,82.40867770513402,0.4743894180406314
64,interest_rate_shock,UK,3037150.6025072904,2199135.2345391414,81.25251082440832,0.46629945577522247
65,interest_rate_shock,UK,3108080.2307214746,2216211.807511542,81.47736114331374,0.48587358406200165
66,interest_rate_shock,UK,2911517.832488393,2107021.875218898,78.92035320777876,0.4664434226131111
67,interest_rate_shock,UK,3126870.879447334,2135810.0081916815,80.7075632703563,0.4683442805125282
68,interest_rate_shock,UK,3053758.3038742486,2224057.937824946,77.7823258678274,0.46877340437707793
69,interest_rate_shock,UK,3138675.6284689554,2291753.962270204,81.4181120472311,0.47228470738825346
70,interest_rate_shock,UK,3175396.389363823,2228853.5389177166,83.24554683698081,0.4784561871699484
71,interest_rate_shock,UK,3053958.350371583,2179739.5484554362,83.17675111023911,0.4820855661177741
72,interest_rate_shock,UK,2996981.5031399555,2145700.149442113,77.93262993668891,0.46975052160069186
73,interest_rate_shock,UK,3041423.8404041785,2161889.894207279,81.03760144020009,0.47716355186559634
74,interest_rate_shock,UK,3274872.3858399955,2287395.2688100804,84.97211056944782,0.48803914179225183
75,interest_rate_shock,UK,2955395.9068872174,2227266.804676474,78.97129674734263,0.4624937834549958
76,interest_rate_shock,UK,3101941.102223215,2212064.454722302,78.15888986626854,0.47543617733670374
77,interest_rate_shock,UK,3004679.7679525246,2071528.5667409527,79.68867363897594,0.4745394864027601
78,interest_rate_shock,UK,3147952.4426384354,2247697.443763851,78.93290633291774,0.47716540566957977
79,interest_rate_shock,UK,3104208.0691478034,2179255.5938766506,82.45158204386011,0.4833446677452551
80,interest_rate_shock,UK,2915558.611038204,2102223.7330606235,78.35286300089071,0.46146467758286436
81,interest_rate_shock,UK,3029624.243030245,2139833.7557573817,81.51284002684943,0.4793928584382372
82,interest_rate_shock,UK,3169769.580045699,2246886.6989337998,83.9955306901622,0.4738123227265716
83,interest_rate_shock,UK,3284135.271000331,2311359.931388801,83.67952751552698,0.48765324461177606
84,interest_rate_shock,UK,2878064.246251543,2072710.7286764525,78.15833542895675,0.47871917043504064
85,interest_rate_shock,UK,3013088.4493796187,2218966.545283207,83.50059842314646,0.4680239002183806
86,interest_rate_shock,UK,3087679.7523877127,2086717.6655338383,79.70443707517653,0.49029818071187137
87,interest_rate_shock,UK,2888856.9597743186,2030577.157754744,80.27784790733212,0.47910409295813605
88,interest_rate_shock,UK,3108816.04411127,2175515.7372803167,78.2211297538445,0.4937778548094911
89,interest_rate_shock,UK,2929914.0438412954,2063543.4234732357,80.62345397491055,0.4814550426151123
90,interest_rate_shock,UK,3034270.303190526,2199156.962162711,81.6829359301166,0.4640847159541355
91,interest_rate_shock,UK,2973362.0837554485,1986992.570726444,79.18039506752757,0.5068998387678845
92,interest_rate_shock,UK,3003897.7496523643,1991066.941200469,78.27461016802943,0.4963893722512036
93,interest_rate_shock,UK,2969015.4406002215,2118237.4528091117,76.00023858678232,0.4777093320444801
94,interest_rate_shock,UK,2997815.6275866707,2127306.5900009014,79.71521007065178,0.4787414322453307
95,interest_rate_shock,UK,3211842.940173884,2144756.3156776633,81.52220827795163,0.5091570157701049
96,interest_rate_shock,UK,3041664.607490029,2232438.762938887,82.02465998661059,0.4700097690422711
97,interest_rate_shock,UK,3028140.6517708586,2195749.3898577243,79.58369912900525,0.463137921546948
98,interest_rate_shock,UK,3053871.8216434154,2198231.1353137093,78.67545526876692,0.4662820831391423
99,interest_rate_shock,UK,2973612.978977227,2044995.4328907607,80.21598493926172,0.4823521131346451
0,tax_incentive,US,42775572.177143954,1831015.3926934698,34.21908103964593,0.9159671385298285
1,tax_incentive,US,44238397.37303292,1721099.5735034216,26.78958913923818,0.9303718172455306
2,tax_incentive,US,48846824.09828137,1764890.562573819,33.52295992205538,0.9252154798512036
3,tax_incentive,US,64880253.67711584,1855255.2089112566,27.275789531500635,0.9244287704571321
4,tax_incentive,US,61981451.95706906,1600911.0332414424,37.88800333762103,0.9348617651531146
5,tax_incentive,US,51362052.20465433,1649185.9417689107,35.81105432528316,0.9228921985121741
6,tax_incentive,US,37197140.462935545,1598727.203639277,29.26003800539498,0.9132442104585174
7,tax_incentive,US,62220110.05551208,1648206.2794406435,26.71121953187893,0.9387745062706452
8,tax_incentive,US,38175437.38970706,1685250.256386999,34.353304640518736,0.9130016276144965
9,tax_incentive,US,45886242.34760985,1578956.7743566723,27.84913397472421,0.9309227378991374
10,tax_incentive,US,51661755.2286804,1853358.0786254369,37.04746364446439,0.9232743685124305
11,tax_incentive,US,46209548.99298477,1544238.470635336,32.58994758653745,0.9211772044657622
12,tax_incentive,US,42896527.51713749,1728402.5320063098,28.362881724625094,0.9221244172192953
13,tax_incentive,US,39876143.81406204,1747104.2257474,36.50940660002706,0.9229763059738032
14,tax_incentive,US,48841303.63076952,1677567.841205644,36.65092681177405,0.9318994078741369
15,tax_incentive,US,50784472.43489377,1604216.319651603,39.74636498024426,0.9330571615449146
16,tax_incentive,US,62361777.35852709,1679037.6970147556,31.072914730778294,0.93296808776553
17,tax_incentive,US,63995566.48396353,1690157.444659613,28.91739982949816,0.9374840850850186
18,tax_incentive,US,55855632.617532305,1764276.6566974898,36.172137964707346,0.9288573223827274
19,tax_incentive,US,52226344.82635213,1899936.248582942,32.65998081984735,0.9186603278959387
20,tax_incentive,US,56549249.96985823,1807875.5680568982,35.66280145881983,0.9307407193703305
21,tax_incentive,US,42737885.67102333,1799390.4396507118,37.06103951130522,0.9115866575137763
22,tax_incentive,US,59179530.738524005,1524334.8183311918,30.853728547686238,0.9407056266727305
23,tax_incentive,US,42610366.99894937,1693670.4376601889,26.939116313898705,0.913531075197072
24,tax_incentive,US,45315105.363389574,1448915.5584606556,32.62946260148518,0.9295113289092221
25,tax_incentive,US,49930906.77476184,1820884.1268693393,29.66684259808581,0.9219146506261175
26,tax_incentive,US,55020260.34093355,1699106.0795435521,33.19169485767997,0.9295619434688362
27,tax_incentive,US,67487156.33805013,1946648.2136040023,26.728844851687075,0.9264139602153416
28,tax_incentive,US,59433654.557313435,1690333.7603385723,35.35837342766033,0.9303189841128201
29,tax_incentive,US,49263495.05592611,1939516.6290382035,28.480023297014437,0.9127321412431182
30,tax_incentive,US,50498848.87779,1779995.761908663,38.83779448605796,0.926793233980707
31,tax_incentive,US,66244153.80744901,1706153.285897524,29.410330940994257,0.9390917405313999
32,tax_incentive,US,70117114.46878998,1597799.5201746183,33.260852464812956,0.9308556320518246
33,tax_incentive,US,43307938.46539491,1788982.2331783054,40.58339515819573,0.9167480966699337
34,tax_incentive,US,48489725.27836106,1761283.1819067313,29.60327419956422,0.9306856210396501
35,tax_incentive,US,44922140.43526471,1619293.5112394216,27.337897379721884,0.9298580078604672
36,tax_incentive,US,66969018.11948715,1718639.1801557955,27.180674383322568,0.9384186019764023
37,tax_incentive,US,51727729.128885604,1872240.0297947647,32.14347787811393,0.9292293894453787
38,tax_incentive,US,47969286.513080046,1852814.1379880812,25.066215463256125,0.9245568275370892
39,tax_incentive,US,46000866.18945308,1929612.0272080863,32.72677416974004,0.9258456943786073
40,tax_incentive,US,36148870.485080354,1733154.0359746607,32.699290273744005,0.9151973716966255
41,tax_incentive,US,42577591.64584709,1655171.7045522719,26.90620120140709,0.9341767824726415
42,tax_incentive,US,52486553.70246718,1687871.0705877375,29.8177346991613,0.9313145018878164
43,tax_incentive,US,53542628.323380955,1707688.8386035566,35.71509098451267,0.9274966685711883
44,tax_incentive,US,38449573.74291231,1703022.7008487834,30.871334314027827,0.9154717364702998
45,tax_incentive,US,69028144.66137879,1884733.9964712984,29.41011398241259,0.9416918843042983
46,tax_incentive,US,65004502.43308443,1627632.7311680089,34.80857668995712,0.9315772820775734
47,tax_incentive,US,32359740.71668765,1652393.9340106235,32.40654187281304,0.8997608333387568
48,tax_incentive,US,48192657.423819534,1812814.7855899944,38.6085351505384,0.9139104038130321
49,tax_incentive,US,36094333.86208433,1490721.4530871203,36.34186980933647,0.9201029586023477
50,tax_incentive,US,36948797.9381811,1902604.6888909768,30.204281654679882,0.9140444691630789
51,tax_incentive,US,50291786.40376054,1753882.644750466,27.011390819873863,0.9264714178336597
52,tax_incentive,US,38781266.7497233,1707195.3536682115,38.23058105868994,0.9070610560172598
53,tax_incentive,US,59126470.34087001,1629075.3465016747,29.81311385048275,0.9275279256743143
54,tax_incentive,US,45201976.58077873,1816921.2339448794,36.20701836406774,0.9226329478463273
55,tax_incentive,US,66922063.88867898,1601115.6162944795,28.82786507671652,0.9481999525071418
56,tax_incentive,US,42538404.30807302,1839890.5144359283,31.20651581698006,0.9177212642484904
57,tax_incentive,US,60031953.793103,1637094.642894266,29.95379667612924,0.9308505269480556
58,tax_incentive,US,42039893.019252084,1817303.0619882331,35.619928128804816,0.9101555591678017
59,tax_incentive,US,45712512.05274953,1853146.60923378,37.26026176428336,0.9163524716023166
60,tax_incentive,US,45300558.9010345,1586488.465386475,27.22396218008988,0.9248443756273725
61,tax_incentive,US,50472308.38819751,1690196.5141546596,31.473481642534384,0.9282643001053581
62,tax_incentive,US,54048953.21118271,1648029.3187008258,29.044235204548166,0.9378990173274395
63,tax_incentive,US,47590998.20117262,1867244.4887819393,31.504707059710196,0.9153977835684091
64,tax_incentive,US,59040666.330638096,1733885.4079073104,32.87663654837883,0.9340028924588522
65,tax_incentive,US,75232711.94968604,1705861.529734244,31.02008024265652,0.9423043691834276
66,tax_incentive,US,53170593.541990876,1468423.7611568682,29.695024064667944,0.9367600267296163
67,tax_incentive,US,62081206.62457099,1741224.1657484365,29.25655267990751,0.9415132328717526
68,tax_incentive,US,47968763.85737224,1549088.6202737046,35.30205953601091,0.9320694092488255
69,tax_incentive,US,47675411.49051793,1615063.5689445082,32.89638940148992,0.9263785605699033
70,tax_incentive,US,51149220.89022921,1672334.897127692,34.13603069287648,0.9273714806866238
71,tax_incentive,US,61463133.44781466,1695533.1020178706,29.171457614671528,0.9363808737498764
72,tax_incentive,US,58929710.55459311,1762994.8333541136,28.8468888493595,0.9318618112994117
73,tax_incentive,US,55746395.66348514,1510014.9479508135,37.57218468701503,0.9436566376688555
74,tax_incentive,US,47013034.840489924,2091708.4075372294,36.07935508422659,0.9108177434427938
75,tax_incentive,US,46709527.17448233,1622754.8639333579,32.59817911054295,0.9286720057114763
76,tax_incentive,US,47071864.07840486,1667724.2901354101,38.57258575699365,0.9280153105651543
77,tax_incentive,US,51959674.90377888,1679697.3442465048,31.402166200001837,0.9266134588508093
78,tax_incentive,US,59056711.91611972,1730958.8588412884,30.55978931537834,0.9305645130588851
79,tax_incentive,US,41047250.04262723,1743043.7712400765,38.659690612542704,0.9195173484609411
80,tax_incentive,US,63794741.01907819,1735146.349083734,29.682044507504745,0.9350276651404466
81,tax_incentive,US,76238455.27078968,1789828.2004225156,29.344464682143293,0.9385705217482783
82,tax_incentive,US,62180311.58990643,1838078.9764043028,34.180008815096215,0.9340321804563783
83,tax_incentive,US,55834151.38580819,1908112.2656597055,24.526907284408253,0.9301296729395605
84,tax_incentive,US,48791847.57791315,1720555.0493466984,29.52669737594515,0.9275868164709937
85,tax_incentive,US,57752440.776685245,1682679.3082416966,34.54541542648742,0.9310303076220958
86,tax_incentive,US,59153384.12643402,1726816.2772051487,42.7366326350408,0.9217579184825513
87,tax_incentive,US,55787168.223194905,1801203.3407719922,37.386949432151155,0.9169700719464517
88,tax_incentive,US,59200169.47994484,1926486.5064085855,38.1567059352248,0.9371856066571325
89,tax_incentive,US,47018554.55218818,1692147.7637285755,28.861211363327183,0.928578426238412
90,tax_incentive,US,35854705.38093832,1685876.0772509654,28.22255907221638,0.9172130565481469
91,tax_incentive,US,46212800.03189102,1766175.3117401213,32.19312911741567,0.9221447181327596
92,tax_incentive,US,45310974.23324814,1917521.8833277724,26.772553612912727,0.9198351786016339
93,tax_incentive,US,40583534.095746994,1668768.4116695863,25.231861692012224,0.9256877603658622
94,tax_incentive,US,51055382.25031455,1995928.3333238554,33.23159576253037,0.9219431131491687
95,tax_incentive,US,49460281.92453871,1481449.6109303331,30.386074567312225,0.9334156467588903
96,tax_incentive,US,64746581.63473523,2002512.9187089582,32.14370046241274,0.9272991102734265
97,tax_incentive,US,51942760.19059658,1665844.6042773966,25.937316513453464,0.9304761908864925
98,tax_incentive,US,60539820.485379785,1893068.9315843717,26.95036604271419,0.9332727534253671
99,tax_incentive,US,48896193.693365924,1839393.5837006867,35.56638899481238,0.9179546148213629
0,tax_incentive,UK,1758269.0625688268,1253486.4739156268,45.96533109368531,0.4636487982663773
1,tax_incentive,UK,1703490.192361145,1238559.0914168889,46.07633954471243,0.46708322159461124
2,tax_incentive,UK,1678816.3413051716,1251718.0012437275,45.651415711868175,0.44684191989092326
3,tax_incentive,UK,1743541.939735219,1220709.4283232708,46.287269906172476,0.47750031001288074
4,tax_incentive,UK,1747306.2231672846,1256855.5193035556,47.927490355899906,0.46717954498949
5,tax_incentive,UK,1662799.067676291,1227036.92181553,45.239659534540856,0.4602143143180324
6,tax_incentive,UK,1808755.168245322,1285124.2144496664,49.03631328889977,0.46690282718758835
7,tax_incentive,UK,1721794.107201104,1289606.7700785515,45.98023060163605,0.4540683495978053
8,tax_incentive,UK,1701732.4028995424,1225614.6109489074,45.16881520977982,0.46877650131689763
9,tax_incentive,UK,1797892.7239062067,1268734.7994999518,44.59109654898652,0.4777332209716667
10,tax_incentive,UK,1799712.9284944637,1257379.9836541382,46.803089488686325,0.4764579021942936
11,tax_incentive,UK,1656313.611511738,1201759.8556174578,45.253716031283034,0.4718143035271467
12,tax_incentive,UK,1721140.1300619368,1235359.554511089,45.31243818256832,0.44643304616708424
13,tax_incentive,UK,1787366.8676352536,1236292.1076981323,49.08378443803885,0.48955587383705534
14,tax_incentive,UK,1880092.4397686676,1344436.8102595191,48.86583400699026,0.4628487072114167
15,tax_incentive,UK,1789442.4822300968,1307846.920626353,46.48657686446252,0.45721443948225193
16,tax_incentive,UK,1790328.2919139084,1347142.410483042,46.61067881117984,0.44606451622433574
17,tax_incentive,UK,1605106.5409372773,1209056.3968031942,44.386970646183755,0.44550722764282114
18,tax_incentive,UK,1711576.5850492183,1238503.1549148168,47.213282689596724,0.4628267916083644
19,tax_incentive,UK,1751121.3815429749,1208796.297412151,46.77460268498527,0.4786609009820737
20,tax_incentive,UK,1727156.727877481,1179661.6668304827,46.26163263667139,0.4804333463629171
21,tax_incentive,UK,1805322.777719843,1301301.788232436,46.49069058959338,0.46840201872648257
22,tax_incentive,UK,1758007.8418918706,1266931.3879601844,47.106433051201634,0.4709440951892718
23,tax_incentive,UK,1770098.3464315133,1275254.1687711135,45.95070003771157,0.4679990426708678
24,tax_incentive,UK,1798305.9548431481,1261578.0822564822,46.52393891900611,0.47999035122100153
25,tax_incentive,UK,1757293.4666050829,1290143.1826913154,46.50953462516009,0.450482946676547
26,tax_incentive,UK,1783594.7324882385,1281899.2987769907,46.922672372685994,0.47698067796776566
27,tax_incentive,UK,1779355.4838475818,1268001.5240842612,46.433137436668076,0.4829682540570175
28,tax_incentive,UK,1690633.5036814117,1224890.2829209561,46.38039935243787,0.45846645582208767
29,tax_incentive,UK,1719981.762414302,1220795.5745149734,48.038547500413415,0.4751711907077216
30,tax_incentive,UK,1758186.4313597356,1264541.439915494,46.231065747875704,0.4724497546240254
31,tax_incentive,UK,1711640.4094980122,1271860.0274915462,46.06061492746908,0.4487740190414853
32,tax_incentive,UK,1804053.6446745782,1363270.0498280292,47.43284323502822,0.4437140958981012
33,tax_incentive,UK,1777810.6872919134,1228828.1699802845,45.79741289944758,0.476205545241436
34,tax_incentive,UK,1795674.104322009,1322273.1878176006,45.6418161094527,0.451183961420633
35,tax_incentive,UK,1854410.5168825975,1247250.1446370035,47.18194834803302,0.4905151610026406
36,tax_incentive,UK,1785271.6379229825,1248091.789719339,46.775629122896056,0.4729470906213651
37,tax_incentive,UK,1723886.0963915375,1208682.2022636347,48.56006229821278,0.47442860423939326
38,tax_incentive,UK,1837517.5620751795,1337547.6614076928,48.009977673292276,0.46448509923505577
39,tax_incentive,UK,1764568.3063338017,1213057.6517488225,46.79112809676072,0.465490511395684
40,tax_incentive,UK,1823842.4439663184,1271150.7369474282,46.228541512718365,0.4852692859448542
41,tax_incentive,UK,1689435.105541098,1298048.8970202175,46.47392808880143,0.4525554123797155
42,tax_incentive,UK,1827969.4292388875,1301123.0828892707,47.82711176029968,0.47140553640564264
43,tax_incentive,UK,1706639.7802261852,1258796.227546303,47.42977071762064,0.46650586038449293
44,tax_incentive,UK,1862644.8551247632,1279460.7357784647,46.46622480307058,0.4842106289871677
45,tax_incentive,UK,1669600.2113426626,1257406.8097831495,43.346671329739,0.4420964436305599
46,tax_incentive,UK,1812825.8632908638,1244564.7514834888,48.35787150751176,0.48390476160250984
47,tax_incentive,UK,1776029.116997313,1263141.8903921763,47.9643042589879,0.4730834352364879
48,tax_incentive,UK,1845404.0947492556,1294721.2260335442,47.60867414881704,0.4746409973144081
49,tax_incentive,UK,1733634.551894318,1277002.378221153,48.01725063162831,0.46137248625199256
50,tax_incentive,UK,1834189.038104628,1323438.9949210733,47.04182644290234,0.46448195077795473
51,tax_incentive,UK,1810915.4047503169,1290042.2839638225,49.845595429468815,0.4757687409231304
52,tax_incentive,UK,1881804.3987951633,1261326.3968533017,48.581543801450785,0.49188555671062884
53,tax_incentive,UK,1794589.552994535,1205334.9916244373,48.59077676906913,0.4884497606953677
54,tax_incentive,UK,1885610.386517065,1378742.9628351445,49.07639586758683,0.4593307444014243
55,tax_incentive,UK,1792303.1702260582,1269599.150259958,46.69969321318512,0.4752703903367439
56,tax_incentive,UK,1780451.9483605728,1221925.3455822966,49.484627482582574,0.4877100276113371
57,tax_incentive,UK,1765387.6143289083,1251541.3539648755,44.02088536433456,0.46530588401449546
58,tax_incentive,UK,1801973.1857806453,1339654.5862680438,47.015310097735515,0.45393565481040654
59,tax_incentive,UK,1740660.4468333148,1221291.8483540933,44.75271542913178,0.4599497096533711
60,tax_incentive,UK,1676202.5573845047,1195702.646935462,46.16229376911069,0.4546537409124902
61,tax_incentive,UK,1847319.26175678,1313265.5606282193,46.99524739998077,0.47148596038357615
62,tax_incentive,UK,1634296.7587673296,1240656.439148277,45.59740612845447,0.4593924110031131
63,tax_incentive,UK,1857576.1754091831,1335709.6117374885,46.66388098470651,0.4733720859046
64,tax_incentive,UK,1650775.6083357942,1206939.3690813864,44.84653847241637,0.4550683062092722
65,tax_incentive,UK,1741215.7116391787,1251323.768539647,45.60647955150311,0.46783181867862145
66,tax_incentive,UK,1805425.5940110465,1274893.8250799337,47.39319079731065,0.46494044997547523
67,tax_incentive,UK,1685729.6480592322,1266448.9991441038,45.70627253422988,0.4512615971732403
68,tax_incentive,UK,1801458.3456826753,1277645.666278629,45.91658779695899,0.47524904326167894
69,tax_incentive,UK,1721793.8250557173,1268818.278370966,45.479652248085586,0.4570505355901222
70,tax_incentive,UK,1782567.4219700044,1333229.3868786804,45.954183567864504,0.4537928204994499
71,tax_incentive,UK,1784739.4102305346,1211840.1789484578,46.68061300543155,0.483011311343573
72,tax_incentive,UK,1827867.7033357334,1248741.2797355354,46.55924923471568,0.4884422030907585
73,tax_incentive,UK,1830921.5424766396,1306858.5261281068,48.61992993959928,0.4750372546531938
74,tax_incentive,UK,1768339.2980394482,1289923.884670051,47.25214679556568,0.46202286998130404
75,tax_incentive,UK,1834741.653948933,1331332.9953705077,47.924232115630446,0.46474305493469936
76,tax_incentive,UK,1729458.6313650454,1240675.9001629478,46.37642201609512,0.47390667576921897
77,tax_incentive,UK,1654063.5857074314,1256373.8850506158,46.78289683346357,0.44710495060830735
78,tax_incentive,UK,1743464.3376743516,1288399.1044210275,46.811496936753855,0.46069909569752054
79,tax_incentive,UK,1727856.7393611006,1237866.2204482239,45.51531452217761,0.47198753836854945
80,tax_incentive,UK,1659028.2971201567,1219712.889338939,45.335249052967356,0.46504769987905914
81,tax_incentive,UK,1772909.6114300897,1280013.0175555735,47.33705760570385,0.46361112115029557
82,tax_incentive,UK,1708038.6409395004,1178049.2188394303,46.012815489834274,0.48067738219212486
83,tax_incentive,UK,1792159.1979774632,1338768.2097167582,45.80515934913643,0.4489021242527629
84,tax_incentive,UK,1608169.3156382584,1188547.4781576633,44.86218995765345,0.4528397640034474
85,tax_incentive,UK,1817866.0752964853,1291595.448308566,46.94625008045071,0.47602341258731173
86,tax_incentive,UK,1780515.2126619788,1248316.943320913,47.24017113456732,0.47162269754985897
87,tax_incentive,UK,1785935.6991508561,1261931.263247889,46.50066509673596,0.474025259939834
88,tax_incentive,UK,1791171.377931555,1304404.2984384447,47.305011353874185,0.4707914825872357
89,tax_incentive,UK,1711221.9983859789,1274929.716999325,45.78445059394953,0.447409773344577
90,tax_incentive,UK,1754045.0057786028,1339015.9273551838,47.048889993306645,0.45040107491427195
91,tax_incentive,UK,1815513.0558953828,1309569.8068845195,46.57722234724379,0.46868830201515377
92,tax_incentive,UK,1671826.000193762,1240374.454860474,44.96912086423296,0.45563843093635636
93,tax_incentive,UK,1783769.4011344851,1232818.7231587535,46.15107222320357,0.47842014338125405
94,tax_incentive,UK,1713756.7697607037,1200544.3703785825,47.468861443482105,0.46507246103253985
95,tax_incentive,UK,1791514.8540879043,1260638.6953479885,47.38881223533553,0.4789771097389741
96,tax_incentive,UK,1707282.6831664434,1248587.2854324984,45.805944304269474,0.455436567105459
97,tax_incentive,UK,1745054.7800163613,1265016.4655979187,48.46954184934026,0.4806637312201003
98,tax_incentive,UK,1805581.2475568117,1287845.362238619,46.55737433579596,0.47262183009588377
99,tax_incentive,UK,1696804.6687194307,1249588.819949294,44.05023989556089,0.4658904101350425
0,auto_enrolment,US,47095470.77507553,1889160.8696754845,28.954839228796114,0.9154705944792456
1,auto_enrolment,US,35583348.58323845,1496184.162474392,34.92324345505476,0.9150593603966286
2,auto_enrolment,US,48366450.35179276,1759717.460250585,25.47620227362947,0.9307003224823336
3,auto_enrolment,US,48272857.89447479,1897054.9286977157,29.54931224458856,0.9155396681430243
4,auto_enrolment,US,60869508.16435725,1560661.3575503298,28.842261536472506,0.9459415606965242
5,auto_enrolment,US,36797331.98256739,1663344.237875984,28.192914270757775,0.9113794504301018
6,auto_enrolment,US,46184579.33582325,1630873.768036425,36.61680464418396,0.9200420874599775
7,auto_enrolment,US,54483717.96273045,1487018.2553549544,32.69898883140941,0.9290005407126976
8,auto_enrolment,US,49101736.645213865,1632931.3664893452,36.751871576762056,0.926511924555375
9,auto_enrolment,US,51680075.92130374,1717977.9492026605,32.995256086434345,0.9285135708785139
10,auto_enrolment,US,41279500.146939516,1610367.365365691,29.655440426981876,0.928141020369059
11,auto_enrolment,US,40461900.38717717,1579779.8716456373,31.835513849406407,0.9130261144737102
12,auto_enrolment,US,49521419.08934077,1706034.8654256822,32.38730485158972,0.9196807800251161
13,auto_enrolment,US,36522828.64126578,1646136.3072188054,34.38159824092777,0.9070460404151142
14,auto_enrolment,US,52281519.56479282,1467660.1198757112,34.869410250565394,0.9346740589786531
